contestId,index,name,tags,rating,solvedCount,vector
1817,E,Half-sum,brute force divide and conquer greedy,3400.0,156,brute force divide and conquer greedy 3400.0
1817,D,Toy Machine,constructive algorithms games implementation,2700.0,442,constructive algorithms games implementation 2700.0
1817,C,Similar Polynomials,combinatorics math,2400.0,725,combinatorics math 2400.0
1817,B,Fish Graph,brute force constructive algorithms dfs and similar graphs,1900.0,2739,brute force constructive algorithms dfs and similar graphs 1900.0
1817,A,Almost Increasing Subsequence,binary search data structures greedy,1500.0,7437,binary search data structures greedy 1500.0
1816,B,Grid Reconstruction,constructive algorithms greedy,1000.0,12377,constructive algorithms greedy 1000.0
1816,A,Ian Visits Mary,constructive algorithms geometry number theory,800.0,14760,constructive algorithms geometry number theory 800.0
1815,F,OH NO1 (-2-3-4),constructive algorithms graphs math,3500.0,131,constructive algorithms graphs math 3500.0
1815,E,Bosco and Particle,dp math number theory strings,3100.0,178,dp math number theory strings 3100.0
1815,D,XOR Counting,bitmasks combinatorics dp math,2600.0,716,bitmasks combinatorics dp math 2600.0
1815,C,Between,constructive algorithms dfs and similar graphs greedy,2200.0,1414,constructive algorithms dfs and similar graphs greedy 2200.0
1815,B,Sum Graph,brute force constructive algorithms graphs implementation interactive shortest paths trees,2000.0,2256,brute force constructive algorithms graphs implementation interactive shortest paths trees 2000.0
1815,A,Ian and Array Sorting,greedy math,1300.0,10643,greedy math 1300.0
1814,F,Communication Towers,brute force divide and conquer dsu,2700.0,324,brute force divide and conquer dsu 2700.0
1814,E,Chain Chips,data structures dp matrices,2300.0,905,data structures dp matrices 2300.0
1814,D,Balancing Weapons,binary search brute force data structures math two pointers,2500.0,620,binary search brute force data structures math two pointers 2500.0
1814,C,Search in Parallel,constructive algorithms greedy sortings,1500.0,7734,constructive algorithms greedy sortings 1500.0
1814,B,Long Legs,brute force math,1700.0,7416,brute force math 1700.0
1814,A,Coins,implementation math,800.0,20293,implementation math 800.0
1811,G2,Vlad and the Nice Paths (hard version),binary search combinatorics data structures dp math two pointers,2200.0,1120,binary search combinatorics data structures dp math two pointers 2200.0
1811,G1,Vlad and the Nice Paths (easy version),combinatorics dp math,2100.0,1348,combinatorics dp math 2100.0
1811,F,Is It Flower?,dfs and similar graphs implementation,2100.0,1231,dfs and similar graphs implementation 2100.0
1811,E,Living Sequence,binary search dp math number theory,1500.0,8350,binary search dp math number theory 1500.0
1811,D,Umka and a Long Flight,constructive algorithms implementation math,1600.0,5286,constructive algorithms implementation math 1600.0
1811,C,Restore the Array,constructive algorithms greedy,1100.0,15438,constructive algorithms greedy 1100.0
1811,B,Conveyor Belts,implementation math,1000.0,16537,implementation math 1000.0
1811,A,Insert Digit,greedy math strings,800.0,24565,greedy math strings 800.0
1810,H,Last Number,combinatorics math,2900.0,83,combinatorics math 2900.0
1810,G,The Maximum Prefix,dp,3200.0,231,dp 3200.0
1810,F,M-tree,data structures math sortings trees,2800.0,408,data structures math sortings trees 2800.0
1810,E,Monsters,brute force data structures dfs and similar dsu graphs greedy,2100.0,2257,brute force data structures dfs and similar dsu graphs greedy 2100.0
1810,D,Climbing the Tree,binary search math,1700.0,5575,binary search math 1700.0
1810,C,Make It Permutation,brute force greedy sortings,1300.0,10975,brute force greedy sortings 1300.0
1810,B,Candies,constructive algorithms math number theory,800.0,15207,constructive algorithms math number theory 800.0
1810,A,Beautiful Sequence,brute force greedy,800.0,18039,brute force greedy 800.0
1809,G,Prediction,combinatorics dp math,2800.0,266,combinatorics dp math 2800.0
1809,F,Traveling in Berland,binary search data structures graphs greedy implementation,2500.0,552,binary search data structures graphs greedy implementation 2500.0
1809,E,Two Tanks,binary search dp implementation math,2400.0,610,binary search dp implementation math 2400.0
1809,D,Binary String Sorting,constructive algorithms greedy,1800.0,4525,constructive algorithms greedy 1800.0
1809,C,Sum on Subarrays,constructive algorithms greedy math,1500.0,9207,constructive algorithms greedy math 1500.0
1809,B,Points on Plane,binary search greedy math,1000.0,16117,binary search greedy math 1000.0
1809,A,Garland,implementation,800.0,21101,implementation 800.0
1808,E3,Minibuses on Venus (hard version),brute force combinatorics dp math,2800.0,273,brute force combinatorics dp math 2800.0
1808,E2,Minibuses on Venus (medium version),combinatorics divide and conquer dp matrices,2500.0,444,combinatorics divide and conquer dp matrices 2500.0
1808,E1,Minibuses on Venus (easy version),combinatorics divide and conquer dp,2200.0,896,combinatorics divide and conquer dp 2200.0
1808,D,"Petya, Petya, Petr, and Palindromes",binary search brute force data structures two pointers,2100.0,1682,binary search brute force data structures two pointers 2100.0
1808,C,Unlucky Numbers,brute force dp greedy implementation,1900.0,2748,brute force dp greedy implementation 1900.0
1808,B,Playing in a Casino,math sortings,1200.0,10413,math sortings 1200.0
1808,A,Lucky Numbers,brute force implementation,900.0,13876,brute force implementation 900.0
1807,G2,Subsequence Addition (Hard Version),bitmasks dp greedy implementation sortings,1100.0,13972,bitmasks dp greedy implementation sortings 1100.0
1807,G1,Subsequence Addition (Easy Version),brute force data structures dp greedy implementation sortings,1100.0,14474,brute force data structures dp greedy implementation sortings 1100.0
1807,F,Bouncy Ball,brute force dfs and similar implementation,1700.0,4376,brute force dfs and similar implementation 1700.0
1807,E,Interview,binary search implementation interactive,1300.0,8970,binary search implementation interactive 1300.0
1807,D,Odd Queries,data structures implementation,900.0,20887,data structures implementation 900.0
1807,C,Find and Replace,greedy implementation strings,800.0,24084,greedy implementation strings 800.0
1807,B,Grab the Candies,greedy,800.0,31417,greedy 800.0
1807,A,Plus or Minus,implementation,800.0,37255,implementation 800.0
1806,F2,GCD Master (hard version),greedy math sortings,2900.0,179,greedy math sortings 2900.0
1806,F1,GCD Master (easy version),greedy math number theory sortings,2900.0,222,greedy math number theory sortings 2900.0
1806,E,Tree Master,brute force data structures dfs and similar trees,2200.0,2024,brute force data structures dfs and similar trees 2200.0
1806,D,DSU Master,combinatorics dp dsu math,2500.0,639,combinatorics dp dsu math 2500.0
1806,C,Sequence Master,brute force constructive algorithms math,1600.0,5779,brute force constructive algorithms math 1600.0
1806,B,Mex Master,constructive algorithms greedy,900.0,14506,constructive algorithms greedy 900.0
1806,A,Walking Master,geometry greedy math,800.0,18500,geometry greedy math 800.0
1805,F2,Survival of the Weakest (hard version),greedy math sortings two pointers,3100.0,221,greedy math sortings two pointers 3100.0
1805,F1,Survival of the Weakest (easy version),binary search brute force implementation math sortings,2600.0,536,binary search brute force implementation math sortings 2600.0
1805,E,There Should Be a Lot of Maximums,brute force data structures dfs and similar dp trees two pointers,2300.0,1146,brute force data structures dfs and similar dp trees two pointers 2300.0
1805,D,"A Wide, Wide Graph",dfs and similar dp graphs greedy trees,1800.0,4440,dfs and similar dp graphs greedy trees 1800.0
1805,C,Place for a Selfie,binary search data structures geometry math,1400.0,9552,binary search data structures geometry math 1400.0
1805,B,The String Has a Target,greedy strings,800.0,16121,greedy strings 800.0
1805,A,We Need the Zero,bitmasks brute force,800.0,16522,bitmasks brute force 800.0
1804,H,Code Lock,bitmasks dp,3300.0,119,bitmasks dp 3300.0
1804,G,Flow Control,data structures dsu implementation,3500.0,143,data structures dsu implementation 3500.0
1804,F,Approximate Diameter,binary search divide and conquer graphs shortest paths,2700.0,632,binary search divide and conquer graphs shortest paths 2700.0
1804,E,Routing,bitmasks brute force dfs and similar dp graphs,2400.0,1134,bitmasks brute force dfs and similar dp graphs 2400.0
1804,D,Accommodation,brute force dp greedy implementation,2000.0,3718,brute force dp greedy implementation 2000.0
1804,C,Pull Your Luck,brute force greedy math number theory,1500.0,9358,brute force greedy math number theory 1500.0
1804,B,Vaccination,greedy implementation,1000.0,11911,greedy implementation 1000.0
1804,A,Lame King,greedy math,800.0,16256,greedy math 800.0
1802,B,Settlement of Guinea Pigs,greedy implementation math,1000.0,10951,greedy implementation math 1000.0
1802,A,Likes,greedy implementation,800.0,13852,greedy implementation 800.0
1801,G,A task for substrings,data structures string suffix structures strings,3400.0,132,data structures string suffix structures strings 3400.0
1801,F,Another n-dimensional chocolate bar,dp math meet-in-the-middle number theory,2700.0,400,dp math meet-in-the-middle number theory 2700.0
1801,E,Gasoline prices,data structures divide and conquer dsu hashing trees,3000.0,265,data structures divide and conquer dsu hashing trees 3000.0
1801,D,The way home,binary search data structures dp graphs greedy shortest paths sortings,2100.0,1411,binary search data structures dp graphs greedy shortest paths sortings 2100.0
1801,C,Music Festival,binary search data structures dp greedy sortings,1900.0,2344,binary search data structures dp greedy sortings 1900.0
1801,B,Buying gifts,data structures greedy sortings,1800.0,4454,data structures greedy sortings 1800.0
1801,A,The Very Beautiful Blanket,bitmasks constructive algorithms,1600.0,6560,bitmasks constructive algorithms 1600.0
1800,G,Symmetree,dfs and similar hashing implementation trees,2200.0,1446,dfs and similar hashing implementation trees 2200.0
1800,F,Dasha and Nightmares,bitmasks hashing meet-in-the-middle strings,1900.0,2746,bitmasks hashing meet-in-the-middle strings 1900.0
1800,E2,Unforgivable Curse (hard version),brute force constructive algorithms dfs and similar dsu graphs greedy strings,1500.0,9116,brute force constructive algorithms dfs and similar dsu graphs greedy strings 1500.0
1800,E1,Unforgivable Curse (easy version),brute force constructive algorithms dsu graphs greedy strings,1400.0,9362,brute force constructive algorithms dsu graphs greedy strings 1400.0
1800,D,Remove Two Letters,data structures greedy hashing strings,1200.0,16047,data structures greedy hashing strings 1200.0
1800,C2,Powering the Hero (hard version),data structures greedy,1100.0,16997,data structures greedy 1100.0
1800,C1,Powering the Hero (easy version),data structures greedy,1000.0,18022,data structures greedy 1000.0
1800,B,Count the Number of Pairs,greedy strings,1000.0,19547,greedy strings 1000.0
1800,A,Is It a Cat?,implementation strings,800.0,24295,implementation strings 800.0
1799,H,Tree Cutting,bitmasks dfs and similar dp,3200.0,174,bitmasks dfs and similar dp 3200.0
1799,G,Count Voting,combinatorics dp math,2600.0,501,combinatorics dp math 2600.0
1799,F,Halve or Subtract,binary search brute force dp greedy sortings,2700.0,591,binary search brute force dp greedy sortings 2700.0
1799,E,City Union,constructive algorithms dfs and similar dsu geometry greedy implementation math,2300.0,945,constructive algorithms dfs and similar dsu geometry greedy implementation math 2300.0
1799,D2,Hot Start Up (hard version),data structures dp,2100.0,1767,data structures dp 2100.0
1799,D1,Hot Start Up (easy version),dp,1900.0,3057,dp 1900.0
1799,C,Double Lexicographically Minimum,greedy strings,1700.0,4315,greedy strings 1700.0
1799,B,Equalize by Divide,brute force constructive algorithms greedy math,1200.0,8744,brute force constructive algorithms greedy math 1200.0
1799,A,Recent Actions,data structures greedy implementation math,800.0,10313,data structures greedy implementation math 800.0
1798,F,Gifts from Grandfather Ahmed,dp math number theory,2500.0,341,dp math number theory 2500.0
1798,E,Multitest Generator,brute force dp,2300.0,1199,brute force dp 2300.0
1798,D,Shocking Arrangement,constructive algorithms greedy math,1600.0,6898,constructive algorithms greedy math 1600.0
1798,C,Candy Store,greedy math number theory,1700.0,6408,greedy math number theory 1700.0
1798,B,Three Sevens,brute force data structures greedy implementation,1000.0,13453,brute force data structures greedy implementation 1000.0
1798,A,Showstopper,greedy implementation sortings,800.0,17441,greedy implementation sortings 800.0
1797,F,Li Hua and Path,data structures dfs and similar divide and conquer dsu trees,3000.0,191,data structures dfs and similar divide and conquer dsu trees 3000.0
1797,E,Li Hua and Array,brute force data structures dsu math number theory two pointers,2300.0,865,brute force data structures dsu math number theory two pointers 2300.0
1797,D,Li Hua and Tree,brute force data structures dfs and similar dp implementation trees,1900.0,2698,brute force data structures dfs and similar dp implementation trees 1900.0
1797,C,Li Hua and Chess,constructive algorithms greedy interactive,1600.0,5686,constructive algorithms greedy interactive 1600.0
1797,B,Li Hua and Pattern,constructive algorithms greedy,1100.0,11745,constructive algorithms greedy 1100.0
1797,A,Li Hua and Maze,constructive algorithms flows graphs greedy implementation,800.0,14536,constructive algorithms flows graphs greedy implementation 800.0
1796,F,Strange Triples,brute force math number theory,2900.0,114,brute force math number theory 2900.0
1796,E,Colored Subgraphs,dfs and similar dp games greedy trees,2500.0,508,dfs and similar dp games greedy trees 2500.0
1796,D,Maximum Subarray,data structures dp greedy two pointers,2000.0,2870,data structures dp greedy two pointers 2000.0
1796,C,Maximum Set,binary search math,1600.0,7511,binary search math 1600.0
1796,B,Asterisk-Minor Template,implementation strings,1000.0,13870,implementation strings 1000.0
1796,A,Typical Interview Problem,brute force implementation strings,800.0,16829,brute force implementation strings 800.0
1795,G,Removal Sequences,bitmasks dfs and similar graphs,2700.0,521,bitmasks dfs and similar graphs 2700.0
1795,F,Blocking Chips,binary search constructive algorithms dfs and similar greedy trees,2400.0,851,binary search constructive algorithms dfs and similar greedy trees 2400.0
1795,E,Explosions?,binary search data structures dp greedy math,2200.0,1581,binary search data structures dp greedy math 2200.0
1795,D,Triangle Coloring,combinatorics math,1600.0,6770,combinatorics math 1600.0
1795,C,Tea Tasting,binary search data structures implementation,1500.0,9104,binary search data structures implementation 1500.0
1795,B,Ideal Point,brute force geometry greedy,900.0,18355,brute force geometry greedy 900.0
1795,A,Two Towers,brute force implementation strings,800.0,21208,brute force implementation strings 800.0
1794,E,Labeling the Tree with Distances,data structures dp greedy hashing implementation trees,2400.0,753,data structures dp greedy hashing implementation trees 2400.0
1794,D,Counting Factorizations,combinatorics divide and conquer dp math number theory,1900.0,2688,combinatorics divide and conquer dp math number theory 1900.0
1794,C,Scoring Subsequences,binary search greedy math two pointers,1300.0,9681,binary search greedy math two pointers 1300.0
1794,B,Not Dividing,constructive algorithms greedy math,900.0,14997,constructive algorithms greedy math 900.0
1794,A,Prefix and Suffix Array,strings,800.0,14659,strings 800.0
1793,F,Rebrending,brute force data structures divide and conquer implementation,2600.0,1001,brute force data structures divide and conquer implementation 2600.0
1793,E,Velepin and Marketing,binary search data structures dp greedy sortings two pointers,2600.0,720,binary search data structures dp greedy sortings two pointers 2600.0
1793,D,Moscow Gorillas,binary search dp greedy implementation math two pointers,1800.0,4656,binary search dp greedy implementation math two pointers 1800.0
1793,C,Dora and Search,constructive algorithms data structures two pointers,1200.0,13532,constructive algorithms data structures two pointers 1200.0
1793,B,Fedya and Array,constructive algorithms math,1100.0,13305,constructive algorithms math 1100.0
1793,A,Yet Another Promotion,greedy math,800.0,16221,greedy math 800.0
1792,F2,Graph Coloring (hard version),brute force combinatorics divide and conquer dp fft graphs,2900.0,298,brute force combinatorics divide and conquer dp fft graphs 2900.0
1792,F1,Graph Coloring (easy version),combinatorics dp graphs,2700.0,509,combinatorics dp graphs 2700.0
1792,E,Divisors and Table,brute force dfs and similar dp number theory,2400.0,1059,brute force dfs and similar dp number theory 2400.0
1792,D,Fixed Prefix Permutations,binary search bitmasks data structures hashing math sortings,1700.0,4885,binary search bitmasks data structures hashing math sortings 1700.0
1792,C,Min Max Sort,binary search brute force greedy math two pointers,1500.0,10236,binary search brute force greedy math two pointers 1500.0
1792,B,Stand-up Comedian,greedy math,1200.0,16515,greedy math 1200.0
1792,A,GamingForces,greedy sortings,800.0,24282,greedy sortings 800.0
1791,G2,Teleporters (Hard Version),binary search greedy sortings,1900.0,3417,binary search greedy sortings 1900.0
1791,G1,Teleporters (Easy Version),greedy sortings,1100.0,16468,greedy sortings 1100.0
1791,F,Range Update Point Query,binary search brute force data structures,1500.0,8720,binary search brute force data structures 1500.0
1791,E,Negatives and Positives,dp greedy sortings,1100.0,19971,dp greedy sortings 1100.0
1791,D,Distinct Split,brute force greedy strings,1000.0,20888,brute force greedy strings 1000.0
1791,C,Prepend and Append,implementation two pointers,800.0,31806,implementation two pointers 800.0
1791,B,Following Directions,geometry implementation,800.0,34172,geometry implementation 800.0
1791,A,Codeforces Checking,implementation strings,800.0,40146,implementation strings 800.0
1790,G,Tokens on Graph,constructive algorithms dfs and similar graphs shortest paths,2300.0,847,constructive algorithms dfs and similar graphs shortest paths 2300.0
1790,F,Timofey and Black-White Tree,brute force dfs and similar divide and conquer graphs greedy math shortest paths trees,2100.0,2483,brute force dfs and similar divide and conquer graphs greedy math shortest paths trees 2100.0
1790,E,Vlad and a Pair of Numbers,bitmasks constructive algorithms,1400.0,11177,bitmasks constructive algorithms 1400.0
1790,D,Matryoshkas,data structures greedy sortings,1200.0,14149,data structures greedy sortings 1200.0
1790,C,Premutation,brute force implementation math,1000.0,19406,brute force implementation math 1000.0
1790,B,Taisia and Dice,greedy greedy math,800.0,23750,greedy greedy math 800.0
1790,A,Polycarp and the Day of Pi,implementation math strings,800.0,30500,implementation math strings 800.0
1789,F,Serval and Brain Power,bitmasks brute force dp greedy implementation strings,2700.0,360,bitmasks brute force dp greedy implementation strings 2700.0
1789,E,Serval and Music Game,brute force dp implementation math number theory,2500.0,630,brute force dp implementation math number theory 2500.0
1789,D,Serval and Shift-Shift-Shift,bitmasks brute force constructive algorithms implementation,2200.0,1313,bitmasks brute force constructive algorithms implementation 2200.0
1789,C,Serval and Toxel's Arrays,combinatorics dp implementation math,1500.0,6487,combinatorics dp implementation math 1500.0
1789,B,Serval and Inversion Magic,brute force implementation strings two pointers,800.0,14006,brute force implementation strings two pointers 800.0
1789,A,Serval and Mocha's Array,brute force math number theory,800.0,14351,brute force math number theory 800.0
1788,F,"XOR, Tree, and Queries",bitmasks constructive algorithms dfs and similar dsu graphs greedy implementation trees,2500.0,618,bitmasks constructive algorithms dfs and similar dsu graphs greedy implementation trees 2500.0
1788,E,Sum Over Zero,data structures dfs and similar dp,2200.0,1957,data structures dfs and similar dp 2200.0
1788,D,Moving Dots,binary search brute force combinatorics math two pointers,2000.0,3096,binary search brute force combinatorics math two pointers 2000.0
1788,C,Matching Numbers,constructive algorithms greedy math,1300.0,13373,constructive algorithms greedy math 1300.0
